NAME,USER,SAFETY_CHECK,PASSWORD,IMAGE,VOLUME_MAP,VNCPORT,SSHPORT,SHINY_SERVER_PORT,ALLOW_SUDO,SSH_SERVER,ALLOW_SHINY_SERVER,USER_ID,THEME,MAC,SHM_SIZE_GB,NR_CORES,MEMORY_GB,TIMEZONE,IQRTOOLS_COMPLIANCE,IQREPORT_TEMPLATE,IQREPORT_LICENSE_KEY,NONMEM_LICENSE_KEY,MONOLIX_LICENSE_KEY,VNC_PRIVATE_KEY,VNC_CERTIFICATE,AWS_ACCESS_KEY_ID,AWS_SECRET_ACCESS_KEY,MOUNT1,MOUNT2,MOUNT3,MOUNT4,MOUNT5
Demo User 01,demo1,demo1,demo1,intiquan/iqdesktop:0.0.0,,5501,6501,7501,FALSE,FALSE,TRUE,2222,dark,00:00:28:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,,,,,,
Demo User 02,demo2,demo2,demo2,intiquan/iqdesktop:0.0.0,,5502,6502,7502,FALSE,FALSE,TRUE,2222,dark,00:00:28:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,,,,,,
Demo User 03,demo3,demo3,demo3,intiquan/iqdesktop:0.0.0,,5503,6503,7503,FALSE,FALSE,TRUE,2222,dark,00:00:28:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,,,,,,
Demo User 04,demo4,demo4,demo4,intiquan/iqdesktop:0.0.0,,5504,6504,7504,FALSE,FALSE,TRUE,2222,dark,00:00:28:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,,,,,,
Demo User 05,demo5,demo5,demo5,intiquan/iqdesktop:0.0.0,,5505,6505,7505,FALSE,FALSE,TRUE,2222,dark,00:00:28:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,,,,,,
Demo User 06,demo6,demo6,demo6,intiquan/iqdesktop:0.0.0,,5506,6506,7506,FALSE,FALSE,TRUE,2222,dark,00:00:28:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,,test:::127.0.0.1:::folder/subfolder:::options,test2:::127.0.0.1:::folder/subfolder2:::,,,
Demo User 07,demo7,demo7,demo7,intiquan/iqdesktop:0.0.0,,5507,6507,7507,FALSE,FALSE,TRUE,2222,dark,00:00:28:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,,test:::127.0.0.1:::folder/subfolder:::options,test2:::127.0.0.1:::folder/subfolder2:::,,,
Demo User 08,demo8,demo8,demo8,intiquan/iqdesktop:0.0.0,,5508,6508,7508,FALSE,FALSE,TRUE,2222,dark,00:00:28:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,,test:::127.0.0.1:::folder/subfolder:::options,test2:::127.0.0.1:::folder/subfolder2:::,,,
Demo User 09,demo9,demo9,demo9,intiquan/iqdesktop:0.0.0,,5509,6509,7509,FALSE,FALSE,TRUE,2222,dark,00:00:28:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,,test:::127.0.0.1:::folder/subfolder:::options,test2:::127.0.0.1:::folder/subfolder2:::,,,
Demo User 10,demo10,demo10,demo10,intiquan/iqdesktop:0.0.0,,5510,6510,7510,FALSE,FALSE,TRUE,2222,dark,00:00:28:06:19:71,2,4,16,Europe/Zurich,FALSE,a,b,c,d,d,d,d,d,test:::127.0.0.1:::folder/subfolder:::options,test2:::127.0.0.1:::folder/subfolder2:::,,,
LASTLINE NEEDED!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
