NAME,USER,SAFETY_CHECK,PASSWORD,IMAGE,VOLUME_MAP,VNCPORT,SSHPORT,SHINY_SERVER_PORT,JENKINSPORT,ALLOW_SUDO,SSH_SERVER,ALLOW_SHINY_SERVER,USER_ID,THEME,MAC,SHM_SIZE_GB,NR_CORES,MEMORY_GB,TIMEZONE,IQRTOOLS_COMPLIANCE,IQREPORT_TEMPLATE,IQREPORT_LICENSE_KEY,NONMEM_LICENSE_KEY,MONOLIX_LICENSE_KEY,VNC_PRIVATE_KEY,VNC_CERTIFICATE,AWS_ACCESS_KEY_ID,AWS_SECRET_ACCESS_KEY
Demo User 01,demo1,demo1,demo1,intiquan/iqdesktop:0.0.0,,5501,6501,7501,8501,TRUE,TRUE,TRUE,2222,dark,00:00:29:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,
Demo User 02,demo2,demo2,demo2,intiquan/iqdesktop:0.0.0,,5502,6502,7502,8502,TRUE,TRUE,TRUE,2222,dark,00:00:29:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,
Demo User 03,demo3,demo3,demo3,intiquan/iqdesktop:0.0.0,,5503,6503,7503,8503,TRUE,TRUE,TRUE,2222,dark,00:00:29:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,
Demo User 04,demo4,demo4,demo4,intiquan/iqdesktop:0.0.0,,5504,6504,7504,8504,TRUE,TRUE,TRUE,2222,dark,00:00:29:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,
Demo User 05,demo5,demo5,demo5,intiquan/iqdesktop:0.0.0,,5505,6505,7505,8505,TRUE,TRUE,TRUE,2222,dark,00:00:29:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,
Demo User 06,demo6,demo6,demo6,intiquan/iqdesktop:0.0.0,,5506,6506,7506,8506,TRUE,TRUE,TRUE,2222,dark,00:00:29:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,
Demo User 07,demo7,demo7,demo7,intiquan/iqdesktop:0.0.0,,5507,6507,7507,8507,TRUE,TRUE,TRUE,2222,dark,00:00:29:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,
Demo User 08,demo8,demo8,demo8,intiquan/iqdesktop:0.0.0,,5508,6508,7508,8508,TRUE,TRUE,TRUE,2222,dark,00:00:29:06:19:71,2,4,16,Europe/Zurich,FALSE,,,,,,,,
LASTLINE NEEDED!,,,,,,,,,,,,,,,,,,,,,,,,,,,,

