NAME,USER,SAFETY_CHECK,PASSWORD,VOLUME_MAP,VNCPORT,SSHPORT,SHINY_SERVER_PORT,USER_ID,IQREPORT_LICENSE_KEY,AWS_ACCESS_KEY_ID,AWS_SECRET_ACCESS_KEY,MOUNT_1_LABEL,MOUNT_1_SERVER_IP,MOUNT_1_SERVER_FOLDER,MOUNT_1_OPTIONS,MOUNT_2_LABEL,MOUNT_2_SERVER_IP,MOUNT_2_SERVER_FOLDER,MOUNT_2_OPTIONS,MOUNT_3_LABEL,MOUNT_3_SERVER_IP,MOUNT_3_SERVER_FOLDER,MOUNT_3_OPTIONS,MOUNT_4_LABEL,MOUNT_4_SERVER_IP,MOUNT_4_SERVER_FOLDER,MOUNT_4_OPTIONS,MOUNT_5_LABEL,MOUNT_5_SERVER_IP,MOUNT_5_SERVER_FOLDER,MOUNT_5_OPTIONS
Demo User 01,demo1,demo1,demo1,,8081,6501,7501,2221,,,,,,,,,,,,,,,,,,,,,,,
Demo User 02,demo2,demo2,demo2,,8082,6502,7502,2222,,,,,,,,,,,,,,,,,,,,,,,
Demo User 03,demo3,demo3,demo3,,8083,6503,7503,2223,,,,,,,,,,,,,,,,,,,,,,,
Demo User 04,demo4,demo4,demo4,,8084,6504,7504,2224,,,,,,,,,,,,,,,,,,,,,,,
Demo User 05,demo5,demo5,demo5,,8085,6505,7505,2225,,,,,,,,,,,,,,,,,,,,,,,
Demo User 06,demo6,demo6,demo6,,8086,6506,7506,2226,,,,,,,,,,,,,,,,,,,,,,,
Demo User 07,demo7,demo7,demo7,,8087,6507,7507,2227,,,,,,,,,,,,,,,,,,,,,,,
Demo User 08,demo8,demo8,demo8,,8088,6508,7508,2228,,,,,,,,,,,,,,,,,,,,,,,
Demo User 09,demo9,demo9,demo9,,8089,6509,7509,2229,,,,,,,,,,,,,,,,,,,,,,,
Demo User 10,demo10,demo10,demo10,,8090,6510,7510,2230,,,,,,,,,,,,,,,,,,,,,,,
LASTLINE NEEDED!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
